kayitTipi,zaman,symbol,yon,senaryo,kalitePuan,kaliteSinif,govdeOrani,ustFitilOrani,altFitilOrani,kapanisGucu,bandTemasKalitesi,bandFarkYuzde,ortaBandUzaklikYuzde,bandGenisligiYuzde,pusuOpen,pusuHigh,pusuLow,pusuClose,girisFiyati,cikisFiyati,sonuc,kapanisSebebi,fiyatKarYuzdesi,netKarZarar,netPozisyonYuzdesi,netMarjinYuzdesi,pusuSayaci,stUyumlu,stYasMum,stMesafeYuzde,stKaynak,stDurum,stEtkiPuani,tutmaSuresiMs,sanalOrderId
ACILIS,2026-07-01T13:18:18.792Z,STORJUSDT,LONG,KIRMIZI_MUM_ALT_BAND,47,C,20,40,40,40,42.87,0.2856,0.3256,2.0661,0.0704,0.0706,0.0701,0.0703,0.0706,,ACIK,,,,,,0,true,20,3.3922,CANLI,OTURMUS_TREND,15,,
ACILIS,2026-07-01T13:18:19.683Z,CHZUSDT,LONG,KIRMIZI_MUM_ALT_BAND,71,B,18.75,0,81.25,81.25,28.66,0.3567,1.6764,5.8514,0.01742,0.01742,0.01726,0.01739,0.01744,,ACIK,,,,,,0,true,10,1.5422,CANLI,OTURMUS_TREND,18,,
